product,variable_1,variable_2,variable_3,variable_4,variable_5,variable_6,variable_7,variable_8,variable_9,variable_10,variable_11,variable_12,variable_13,variable_14,variable_15,variable_16,variable_17,variable_18,variable_19,variable_20,variable_21,variable_22,variable_23,variable_24,variable_25,variable_26,variable_27
product_1,48655,881,2876,1301,1638,22437,13432,5958,0.02,0.06,0.03,0.03,0.46,0.28,0.12,22076,0.25,0.03,16251,20040,8128,0.41,193606,90871,648064,40048,17857
product_2,109150,2419,7283,4225,3101,40720,30543,20590,0.02,0.07,0.04,0.03,0.37,0.28,0.19,54357,0.22,0.02,34742,33631,14456,0.31,588466,255997,1922579,79337,37976
product_3,106215,2456,6302,6762,3320,28455,32740,25692,0.02,0.06,0.06,0.03,0.27,0.31,0.24,52823,0.21,0.02,30095,25436,11066,0.24,761490,332800,1407143,69391,33373
product_4,73340,1713,4376,4004,2734,22703,23390,14017,0.02,0.06,0.05,0.04,0.31,0.32,0.19,12481,0.23,0.02,9616,23216,3611,0.32,483157,224709,958817,53428,10237
product_5,122575,2333,7286,5473,3528,41661,39969,21877,0.02,0.06,0.04,0.03,0.34,0.33,0.18,60978,0.23,0.03,40245,45412,19165,0.37,822723,386353,1804101,93332,44822
product_6,191274,5524,13429,10895,5730,57642,57589,39765,0.03,0.07,0.06,0.03,0.3,0.3,0.21,106715,0.21,0.02,62102,56323,26653,0.29,894123,414657,2331030,131104,69246
product_7,101135,2066,7127,4329,1865,28362,30911,26150,0.02,0.07,0.04,0.02,0.28,0.31,0.26,52183,0.21,0.02,29897,28763,12538,0.28,525168,231953,1524515,67879,33409
product_8,58992,2176,5741,1772,2107,20806,14822,11403,0.04,0.1,0.03,0.04,0.35,0.25,0.19,29380,0.23,0.03,17751,20945,9458,0.36,306658,119379,852794,42494,20616
product_9,90100,2096,6032,5600,1791,16620,26954,30607,0.02,0.07,0.06,0.02,0.18,0.3,0.34,50020,0.22,0.02,23996,13617,6215,0.15,896966,441408,1064608,48562,26142
product_10,65238,3439,6498,2530,2631,17689,15280,16821,0.05,0.1,0.04,0.04,0.27,0.23,0.26,32867,0.23,0.03,16776,18854,8226,0.29,399152,152170,748548,40648,19875
